"id","node","complex_id","rows","columns","description","type","ref1","ref_id","question","created_at","created_by","updated_at","updated_by","active","project_id"
"7988","251","3","1","1","#00B050","5","Non Critical","42","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7989","251","3","1","2","#00B050","5","Non Critical","43","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7990","251","3","1","3","#FFFF00","5","Non Critical","44","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7991","251","3","1","4","#FFFF00","5","Non Critical","45","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7992","251","3","1","1","< 0.3 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7993","251","3","1","5","#FFFF00","5","Non Critical","46","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7994","251","3","1","2","< 0.1 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7995","251","3","","1","1-20","7","Critical","79","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7996","251","3","1","","Extreme Unlikelihood","2","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7997","251","3","8","","Can know unusual sign before failure occuring","3","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7998","251","3","2","1","#00B050","5","Non Critical","47","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"7999","251","3","1","3","< 0.01 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8000","251","3","","2","21-40","7","Critical","80","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8001","251","3","2","","Remote likelihood","2","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8002","251","3","","3","41-60","7","Critical","81","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8003","251","3","1","4","No/Slight Effect","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8004","251","3","10","","Can not know any sign before failure occuring","3","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8005","251","3","2","2","#FFFF00","5","Non Critical","48","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8006","251","3","","4","61-80","7","Critical","82","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8007","251","3","1","5","""- No or Slight impact to Community, Reputation and Customer
- No fault or insignificant fault of complying with laws/articles of association.""","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8008","251","3","2","3","#FFFF00","5","Non Critical","49","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8009","251","3","","5","81-100","7","Critical","83","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8010","251","3","1","6","""- No injury or First Aid case
- No or very low health effect
-  No or Minimal morale impact""","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8011","251","3","2","4","#FFC000","5","Critical","50","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8012","251","3","2","1","0.3 - <3 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8013","251","3","2","5","#FFC000","5","Critical","51","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8014","251","3","2","2","0.1 - <1 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8015","251","3","3","1","#FFFF00","5","Non Critical","52","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8016","251","3","2","3","0.01 - < 0.1 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8017","251","3","3","2","#FFFF00","5","Non Critical","53","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8018","251","3","2","4","Minor Effect","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8019","251","3","3","3","#FFC000","5","Critical","54","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8020","251","3","2","5","""- Minor impact with short term recovery
- Local media
- Verbal complaints
- Partly comply with laws/articles of association.""","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8021","251","3","3","4","#FF0000","5","Critical","55","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8022","251","3","2","6","""- Medical treatment or Restrict to work
-  Low health effect
- Short-term morale impact""","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8023","251","3","3","5","#FF0000","5","Critical","56","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8024","251","3","3","1","3 - <30 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8025","251","3","3","","Very low likelihood","2","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8026","251","3","4","1","#FFFF00","5","Non Critical","57","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8027","251","3","3","2","1 - <10 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8028","251","3","4","2","#FFC000","5","Critical","58","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8029","251","3","3","3","0.1 - <1 M","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8030","251","3","4","3","#FF0000","5","Critical","59","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8031","251","3","3","4","Moderate Effect","1","Critical","","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8032","251","3","4","4","#FF0000","5","Critical","60","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
"8033","251","3","","1","GPC
(THB)""","6","Critical","36","1","2016-02-04 11:56:22","1","2016-02-04 11:56:22","","1","148"
