"id","parent","asset_name","description","cat_id","type_id","level","rpn","drawing","picture_path","severity","occur","detect","color","complex_node","business_unit_type_colums","created_by","updated_by","active","project_id","created_at","updated_at"
"15","","Level 01","","","","1","","","","","","","#A0A0A0","","","1","","1","27","2016-01-24 13:17:42","2016-01-24 13:17:42"
"16","15","Level 02","","","","2","","","","","","","#A0A0A0","","1","1","1","1","27","2016-01-24 13:17:52","2016-01-24 13:39:13"
"58","16","level 03","sadasdasdasd","","","3","","","","","","","#A0A0A0","58","","1","1","1","27","2016-01-26 13:38:32","2016-01-26 13:38:39"
"67","58","level 04","","","","4","","","","","","","#A0A0A0","58","","1","","1","27","2016-01-26 14:44:52","2016-01-26 14:44:52"
"68","67","level 05","","","","5","","","","","","","#A0A0A0","58","","1","","1","27","2016-01-26 14:44:59","2016-01-26 14:44:59"
"69","68","level 06","","","","6","","","","","","","#A0A0A0","58","","1","","1","27","2016-01-26 14:45:06","2016-01-26 14:45:06"
"70","69","level 07","","","","7","","","","","","","#A0A0A0","58","","1","","1","27","2016-01-26 14:45:14","2016-01-26 14:45:14"
"71","70","level 08","","11","33","8","600","","","3","7","8","#FFC000","58","","1","1","1","27","2016-01-26 14:45:26","2016-01-26 16:49:35"
"184","16","l,l;l;,","","","","3","","","","","","","#A0A0A0","184","","1","","1","27","2016-01-28 14:56:11","2016-01-28 14:56:11"
"185","16","dfdfdf","","","","3","","","","","","","#A0A0A0","185","","1","","1","27","2016-01-28 14:59:28","2016-01-28 14:59:28"
"186","16","Level 030303","","","","3","","","","","","","#A0A0A0","186","","1","1","1","27","2016-01-28 15:00:26","2016-01-31 13:54:04"
"187","16","Level 033333","","","","3","","","","","","","#A0A0A0","187","","1","1","1","27","2016-01-28 15:01:09","2016-01-31 13:53:11"
"188","70","Level 08 001","wqeqweqweqwe","12","34","8","120","","","1","6","10","#FFFF00","58","","1","1","1","27","2016-01-28 15:31:38","2016-01-28 15:32:25"
"189","70","Level 08 002","fggtertertgergert","10","32","8","128","","","2","4","8","#FFFF00","58","","1","1","1","27","2016-01-28 15:33:08","2016-01-28 15:33:49"
"190","67","kk","","","","5","","","","","","","#A0A0A0","58","","1","","1","27","2016-02-01 11:59:18","2016-02-01 11:59:18"
